name;paper_count
Ali AARO;1
Abbey-Lee RN;1
Abbott JK;1
Aberson C;1
Aberson CL;2
Abler B;1
Aczel B;6
Adamian N;1
Adamkovic M;1
Adamkovič M;2
Adamus S;3
Adcock RA;1
Adetula GA;3
Adetula A;3
Adie P;1
Adiguzel A;2
Aditya Y;1
Adolfi FG;1
Adoric VC;3
Adıgüzel A;1
Afhami R;3
Agadullina E;3
Agartz I;1
Agarwal R;1
Agesin BB;1
Agesin BE;2
Aglioti SM;2
Aguirre LA;1
Ahlgren L;2
Ahlgren LP;1
Ahmadi H;1
Ahmed A;3
Ahn ER;2
Ahnström L;4
Aimbetov R;1
Akkas H;3
et al;2
Alaburda P;1
Alavi M;2
Alayan AJ;1
Albayrak-Aydemir N;3
Albers CJ;3
Albers C;1
Alcaraz C;1
Aleman A;1
Alfano M;2
Algermissen J;2
Alkattan D;1
Allen PJ;1
Allred TB;3
Almeida R;1
Almeida IAT;3
Almenberg AD;1
Aloni I;1
Alspaugh S;1
Alstott J;1
Altay S;1
Althoff T;2
Altman S;1
Altschul D;1
Alvarado-Yepez AJ;2
Alvarez DS;3
Alves SG;3
Alzahawi S;1
Amir Y;1
Amireh H;1
Andersen A;2
Anderson CJ;1
Andersson G;1
Andreassen OA;2
Andreasson A;2
Andreychik M R;1
Anjum G;3
Ankushev V;2
Anne M;3
Anseel F;2
Antazo B;2
Antazo BG;1
Antfolk J;3
Anthony M;1
Anthony F-V;1
Anton-Boicuk L;3
Antoniadi M;2
Anvari F;1
Appelgren A;1
Appelhoff S;2
Appiah OK;1
Apps MAJ;3
Arab Z;1
Arabi KAE;1
Arekar K;1
Argamon SE;1
Arinze AI;3
Arinze NC;3
Arnberg F;1
Arriaga P;3
Arshamian A;2
Arslan S;1
Aruta JJB;2
Arvaneh M;2
Arvanitis A;3
Arzi A;1
Asadli C;2
Asaduzzaman M;1
Ashar YK;1
Askelund AD;3
Aspromonti DA;1
Atari M;2
Atay SM;1
Atkins JW;1
Atkinson QD;1
Atkinson J;1
Auer T;1
Aust F;1
Austin CC;1
Avesani P;1
Awais M;1
Awuor FJ;2
Axelsson J;4
Axelsson E;1
Axfors C;3
Azab H;2
Azevedo F;5
Azouaghe S;3
Babiloni C;1
Babinčák P;2
Baccigotti A;1
Baczkowski BM;1
Badhwar A;1
Baguley T;1
Bahnik S;1
Bahník Š;1
Bai H;3
Baik J;1
Bailey NW;1
Baillet M;1
Baillet S;2
Baimel A;1
Bajracharya A;1
Bak Coleman JB;1
Bak-Coleman JB;1
Baker CM;1
Baklanova E;3
Bakst L;1
Balci BB;3
Balkaya-Ince M;1
Ball S;1
Ballantyne T;3
Balling LW;1
Balsamo M;1
Banik G;2
Banker S;2
Banks GC;1
Bansal S;1
Baník G;1
Baranger DAA;1
Barilari M;1
Barisano G;1
Barnett-Cowan M;1
Barr DJ;1
Barrett M;1
Barrios FA;1
Barros-Rivera B;1
Bartels DM;1
Bartos F;1
Barzykowski K;3
Basaglia P;2
Baskin E;3
Basnight-Brown DM;2
Bassil Y;1
Bastiaansen JA;1
Batres C;3
Bauer M;1
Bault N;1
Bauman CW;1
Bavolar J;3
Bayer JMM;1
Baždarić K;1
Beaton D;1
Beaudry JL;3
Becerra M;1
Becker RB;1
Becker M;3
Beffara B;1
Behzadnia B;3
Beitner J;5
Bejerot S;1
Belaus A;3
Bell K;1
Bello SK;1
Beltrachini L;1
Beltrán I;1
Benar CG;1
Bendall RCA;1
Bendixen T;1
Benedetti F;1
Bengtsson J;2
Benjamin D;1
Benning SD;1
Benoit RG;1
Berauer BJ;1
Berger S;2
Bergman Nordgren L;1
Berkebile-Weinberg MM;1
Berkebile-Wineberg MM;1
Berkessel JB;4
Bernardo M;2
Bernier A;2
Berniunas R;1
Bernstein A;1
Bertazzoli G;1
Bertin P;2
Bertram MG;1
Bertsch K;1
Beshears JE;3
Beste C;1
Bethlehem RAI;1
Betlehem R;2
Bezuidenhout L;1
Bhanji JP;1
Bhogawar S;1
Bialek M;2
Bialobrzeska O;5
Białek M;3
Bicarregui J;1
Bijlstra G;3
Bilgin IP;1
Billet MI;1
Billingsley J;1
