ID,Publication type,Reporting date 1,Reporting date 2,Abstract OR Description (English),Date of acceptance,Addresses,Altmetric attention score,File(s) confidential,Associated identifiers,Author's licence,Authors OR Creators / Principal investigators OR Author,Associated URL OR Author URL,Collections,Confidential,File(s) confidentiality reason,DOI,Edition,Editors OR Supervisors,eISSN,File(s) embargo release date,External identifiers,Field citation ratio,Date submitted,Conference finish date OR Finish date OR End date,Funding acknowledgements,Data availability statement present,ISBN-10,ISBN-13,Is compliant with institutional policy,File(s) embargoed,Open access,ISSN,Issue,Journal OR Published proceedings,Keywords,Language,Country OR Conference place OR Location,Medium,Name of conference OR Presented at,Notes,Article number OR Chapter number,Number of chapters in book OR Number of pieces,OA location file version,OA location URL,Online publication date,Open access status,Pagination (start page),Pagination (end page),Pagination (page count),Preprint server OR Book title OR Repository,PII,Place of publication,Preprint for,Publication date,Status,Public URL,Publisher,Publisher licence,Publisher URL,Record created at source,Record made publicly available,Relative citation ratio,Availability,Series,Conference start date OR Start date,Thesis type,Title OR Title (English),Sub types,Version,Volume,Abstract (English),Abstract (Swedish),Description (Swedish),Alternate title,Sub type,Author name when published,Publication URL of author version,Brief summary (English),Brief summary (Swedish),Sub type,Contributors,Co-supervisors,Data contain other protected information,Data contain personal data,Data format,Licence,Defence date,Rights,Handle (PID),Has KI contributor OR Is KI thesis,KI department,KI department,KI OA type,KI research group,Language,Level of accessibility,Number of individuals / objects,Number of variables,Peer reviewed,Population (English),Population (Swedish),Genre,Related identifiers,Version in KI Open Archive,Study design,Main supervisor,Number of supporting papers,Thesis type,Title (Swedish),Web of Science accession number,Citation count,Indexed in DOAJ,DOAJ CC Licence,Files in KI Open Archive,KI Open Archive public URL,Deposited to KI Open Archive,Item status in KI Open Archive,Proprietary ID,Source,Canonical journal title
1112467,Preprint,17/03/2026,,"<jats:p>Background: Multiple stakeholders need to locate results of registered clinical trials but frequently struggle to find them. Summary results of clinical trials are often not published in trial registries, and publications containing trial results are often not explicitly linked to their respective trial registrations. Finding these results is important to researchers, systematic reviewers, research funders, regulators, clinical practitioners, and patients. Methods: We developed TrialScout, a computer program that uses a large language model to match clinical trials registered on ClinicalTrials.gov with corresponding result publications indexed in PubMed. TrialScout's performance was evaluated through comparison to human-coded matches from previous studies of results reporting rates. Subsequently, TrialScout was applied to a random sample of 9,600 completed or terminated trials. Results: TrialScout had a sensitivity of 92.5% and a specificity of 81.2% compared to human coders. Manual review of 200 cases where TrialScout disagreed with human researchers showed that a majority (123/200, 61.5%, 95% CI, 54.4–68.3%) of disagreements were due to human errors. When used on 9,600 sampled trials in ClinicalTrials.gov, TrialScout found result publications for 6,110 (63.6%) of trials.  Discussion: TrialScout reliably located results of completed clinical trials. The tool offers benefits in terms of speed and efficiency. Estimating TrialScout's accuracy is limited by the lack of a true gold standard. TrialScout can accelerate the process of locating trial results in the scientific literature and can assist in monitoring trial reporting practices.</jats:p>",2026-03-17,,,,,,"Ahnström L, Bruckner T, Aspromonti DA, Caquelin L, Cummins J, DeVito NJ, Axfors C, Ioannidis JPA, Nilsonne G",,,,,10.64898/2026.03.15.26348383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,openRxiv,,,,2026-03-17,Published,,,,https://doi.org/10.64898/2026.03.15.26348383,2026-03-18,,,,,,,TrialScout links published results to trial registrations using a large language model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,No,Not deposited,10.64898/2026.03.15.26348383,Crossref,
1083623,Journal article,01/01/2026,,,,,,,,,"Sorjonen K, Melin M, Lager E, Nilsonne G, Melin B",https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=kielementsprod&SrcAuth=WosAPI&KeyUT=WOS:001637638900001&DestLinkType=FullRecord&DestApp=WOS_CPL,,,,10.1016/j.intell.2025.101985,,,1873-7935,,,,,,,,,,,,,0160-2896,,INTELLIGENCE,"Ability vs. performance, Dunning-Kruger effect, Effect of disturbance, LOESS and linear regression, Under, and overestimation",,,,,,101985,,,,,,,,6,,,,,2026,Published,,,,,,,,,,,,Low validity of lower ability test scores can mimic the Dunning-Kruger effect,Article,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,0,,No,Not deposited,WOS:001637638900001,Web of Science (Starter),INTELLIGENCE
1083623,Journal article,01/01/2026,,"The Dunning-Kruger effect describes a phenomenon where individuals with low ability allegedly tend to overestimate their ability more than individuals with higher ability. According to a contemporary operationalization of the Dunning-Kruger effect, individuals with low measured ability are predicted to have higher self-rated ability in a LOESS (locally estimated scatterplot smoothing) model compared with a linear regression model. In simulations we show that a Dunning-Kruger effect can appear due to an impact of disturbance on measured ability, even when self-rated ability is a perfect measure of true ability. A higher self-rated than measured ability may be due to measured ability underestimating true ability rather than due to self-rated ability being an overestimation. Hence, Dunning-Kruger effects do not prove that individuals with low measured ability overestimate their true ability.",,,1,,,,"Sorjonen K, Melin M, Lager E, Nilsonne G, Melin B",,,,,10.1016/j.intell.2025.101985,,,,,,,,,,,,,,,,0160-2896,,Intelligence,"5205 Social and Personality Psychology, 52 Psychology",,,,,,,,,,,Closed Access,101985,,,,,,,2026-01,,,Elsevier,,,2025-12-08,,,,,,,Low validity of lower ability test scores can mimic the Dunning-Kruger effect,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,0,,No,Not deposited,pub.1195844963,Dimensions,INTELLIGENCE
1083623,Journal article,01/01/2026,,,,,,,,,"Sorjonen K, Melin M, Lager E, Nilsonne G, Melin B",,,,,10.1016/j.intell.2025.101985,,,,,,,,,,,,,,,,0160-2896,,Intelligence,,en,,,,,101985,,,,,,101985,101985,,,,,,2026-01,Published,,Elsevier BV,,https://doi.org/10.1016/j.intell.2025.101985,2026-01-09,,,,,,,Low validity of lower ability test scores can mimic the Dunning-Kruger effect,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,0,,No,Not deposited,10.1016/j.intell.2025.101985,Crossref,INTELLIGENCE
1083623,Journal article,01/01/2026,,,,"Karolinska Institutet, Sweden, Stockholm University, Sweden",,,,,Sorjonen K,https://www-webofscience-com.proxy.kib.ki.se/wos/woscc/full-record/WOS:001637638900001,,,,10.1016/j.intell.2025.101985,,,,,,,,,,,,,,,,,,,"Psychology (Excluding Applied Psychology), Department of Clinical Neuroscience (CNS)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Article,,,,,,,,,,,,,,,Yes,,,,,,,,,Peer reviewed,,,,,,,,,,,WOS:001637638900001,,No,,0,,No,Not deposited,163765871,KI Bibliometrics,INTELLIGENCE
1089851,Preprint,31/12/2025,,"Abstract  Objective  Antimicrobial resistance (AMR) is an urgent global health threat, resulting in more than 5 million deaths globally in 2019. Timely and complete antimicrobial agent (AMA) clinical trial results reporting is essential to evaluate the safety and efficacy of investigational therapies. The Food and Drug Administration Amendments Act (FDAAA) of 2007 mandated results reporting for applicable clinical trials to ClinicalTrials.gov . After nearly ten years of underreporting, the HHS issued the Final Rule, requiring a designated responsible party to submit results to ClinicalTrials.gov and clarifying applicable clinical trial (ACT) criteria. ACTs and probable ACTs (pACTs) are interventional studies regulated by the FDA with at least one site based in the United States. However, pACTs were initiated prior to January 2017, when the Final Rule came into effect. This study investigates the compliance and timeliness of results reporting of ACTs and probable ACTs (pACTs) for AMAs.    Design  We extracted data from ClinicalTrials.gov for trials involving AMAs with primary completion dates between May 1, 2013, and May 1, 2023. We analyzed the time from primary completion to results reporting and estimated the hazard ratio to compare timeliness between ACTs and pACTs. Additionally, we assessed delays in reporting across different study types and funding sources.    Results  Our search resulted in 2629 NCT records. After exclusion of ineligible trials, we included 2525 trials. We found 1769 pACTs (70.1%; 95% CI, 69.3%-72.9%) and 756 ACTs (29.9%; 95% CI, 28.2%-31.8%). Among the 2525 eligible trials, 2249 trials (89.1%; 95% CI, 87.8%-90.2%) were reported on ClinicalTrials.gov or in journal publications. Overall, 81.3% (95% CI, 79.7%-82.3%) of trials were reported late or missing (75.0% of ACTs vs 83.6% of pACTs). ACTs were more likely to report results earlier than pACTs, with a hazard ratio of 1.4 (95% CI, 1.3-1.5).    Conclusions ACTs demonstrated greater reporting compliance and shorter delays in the reporting of overdue results. While this analysis provides initial insights, limitations related to timeline and sample scope suggest that broader investigations are needed to fully evaluate the impact of the Final Rule.",,,1,,,,"Curtin M, Wiltshire A, Nilsonne G, Siebert M",,,,,10.64898/2025.12.23.25342922,,,,,,,,,,,,,,,,3067-2007,,,"32 Biomedical and Clinical Sciences, 3202 Clinical Sciences, Clinical Research, Clinical Trials and Supportive Activities, Biodefense, Emerging Infectious Diseases, Infectious Diseases",,,,,,,,,,2025-12-31,Green OA,2025.12.23.25342922,,,medRxiv,,,,,,,Cold Spring Harbor Laboratory,,,2026-01-02,,,,,,,Assessing the Compliance and Timeliness of Results Reporting for Clinical Trials on Antimicrobial Agents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,No,Not deposited,pub.1196790094,Dimensions,
1089851,Preprint,31/12/2025,,"<jats:title>Abstract</jats:title>
                <jats:sec>
                  <jats:title>Objective</jats:title>
                  <jats:p>
                    Antimicrobial resistance (AMR) is an urgent global health threat, resulting in more than 5 million deaths globally in 2019. Timely and complete antimicrobial agent (AMA) clinical trial results reporting is essential to evaluate the safety and efficacy of investigational therapies. The Food and Drug Administration Amendments Act (FDAAA) of 2007 mandated results reporting for applicable clinical trials to
                    <jats:ext-link xmlns:xlink=""http://www.w3.org/1999/xlink"" ext-link-type=""uri"" xlink:href=""http://ClinicalTrials.gov"">ClinicalTrials.gov</jats:ext-link>
                    . After nearly ten years of underreporting, the HHS issued the Final Rule, requiring a designated responsible party to submit results to
                    <jats:ext-link xmlns:xlink=""http://www.w3.org/1999/xlink"" ext-link-type=""uri"" xlink:href=""http://ClinicalTrials.gov"">ClinicalTrials.gov</jats:ext-link>
                    and clarifying applicable clinical trial (ACT) criteria. ACTs and probable ACTs (pACTs) are interventional studies regulated by the FDA with at least one site based in the United States. However, pACTs were initiated prior to January 2017, when the Final Rule came into effect. This study investigates the compliance and timeliness of results reporting of ACTs and probable ACTs (pACTs) for AMAs.
                  </jats:p>
                </jats:sec>
                <jats:sec>
                  <jats:title>Design</jats:title>
                  <jats:p>
                    We extracted data from
                    <jats:ext-link xmlns:xlink=""http://www.w3.org/1999/xlink"" ext-link-type=""uri"" xlink:href=""http://ClinicalTrials.gov"">ClinicalTrials.gov</jats:ext-link>
                    for trials involving AMAs with primary completion dates between May 1, 2013, and May 1, 2023. We analyzed the time from primary completion to results reporting and estimated the hazard ratio to compare timeliness between ACTs and pACTs. Additionally, we assessed delays in reporting across different study types and funding sources.
                  </jats:p>
                </jats:sec>
                <jats:sec>
                  <jats:title>Results</jats:title>
                  <jats:p>
                    Our search resulted in 2629 NCT records. After exclusion of ineligible trials, we included 2525 trials. We found 1769 pACTs (70.1%; 95% CI, 69.3%-72.9%) and 756 ACTs (29.9%; 95% CI, 28.2%-31.8%). Among the 2525 eligible trials, 2249 trials (89.1%; 95% CI, 87.8%-90.2%) were reported on
                    <jats:ext-link xmlns:xlink=""http://www.w3.org/1999/xlink"" ext-link-type=""uri"" xlink:href=""http://ClinicalTrials.gov"">ClinicalTrials.gov</jats:ext-link>
                    or in journal publications. Overall, 81.3% (95% CI, 79.7%-82.3%) of trials were reported late or missing (75.0% of ACTs vs 83.6% of pACTs). ACTs were more likely to report results earlier than pACTs, with a hazard ratio of 1.4 (95% CI, 1.3-1.5).
                  </jats:p>
                </jats:sec>
                <jats:sec>
                  <jats:title>Conclusions</jats:title>
                  <jats:p>ACTs demonstrated greater reporting compliance and shorter delays in the reporting of overdue results. While this analysis provides initial insights, limitations related to timeline and sample scope suggest that broader investigations are needed to fully evaluate the impact of the Final Rule.</jats:p>
                </jats:sec>",2025-12-31,,,,,,"Curtin M, Wiltshire A, Nilsonne G, Siebert M",,,,,10.64898/2025.12.23.25342922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,openRxiv,,,,2025-12-31,Published,,,,https://doi.org/10.64898/2025.12.23.25342922,2026-01-03,,,,,,,Assessing the Compliance and Timeliness of Results Reporting for Clinical Trials on Antimicrobial Agents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,No,Not deposited,10.64898/2025.12.23.25342922,Crossref,
1086793,Preprint,05/12/2025,,"Advancing knowledge valorisation to enable transdisciplinary and cross-sector knowledge circulation is key to upgrading the European research landscape, resulting in economic, digital, ecological, and social benefits. That is why IP4OS advocates for a concerted Intellectual Property (IP) and Open Science (OS) approach: A complementary and supportive link between agile and fitting IP tools and the sharing of F indable, A ccessible, I nteroperable, and R e-usable (FAIR) research outputs (data, results, codes, etc.). IP4OS's overall goal is to empower multi-professionals and their organisations with awareness, knowledge, skills, and advocacy to valorise FAIR research outputs with effectively fitting IP tools .   Firstly, IP4OS will publish a sound Synergy Framework - a Best Practice Manual mapping the relationship between IP and OS, providing recommendations for best practices. Secondly, IP4OS raises 50% more awareness in the Community of Practice (CoP) by informing about advocates, facts and figures on IP tools that support OS practices. Furthermore, IP4OS will reach 300 trained professionals and additionally (at least) 27 multipliers for multi-professional teams from all European countries via several easy-to-use and sustainable educational resources using the Synergy Framework and the Synergy Core Curriculum. Through all of IP4OS’s activities, the project builds a new CoP for IP management to support OS and addresses 15 specific professions in training who are actors, intermediaries, educators, and learners in the R&I landscape.   With this approach, IP4OS is fully in line with the objectives and impact expectations of the call, namely (1) to identify the complementary synergy of IP management and OS practices by building on existing resources and practices as well as through a co-creative process of a Multi-Professional Community of Practice including experts and actors of the R&I landscape and (2) to anchor these findings in practice-oriented learning resources and bring them into practice through specialised courses to a broad community. With this process, IP4OS follows the call's core objective: the cross-over empowerment of multi-professionals and their organisations to enrich their IP practices with useful OS principles, thus emphasising value creation and utilisation in IP management and increasing European Research Area’s (ERA) benefits.  IP4OS comprises a consortium with complementary expertise from IP management, knowledge transfer and education, research, libraries, and experts from small and medium-sized enterprises (SME) covering legal aspects and dissemination activities. The International Expert Advisory Board (IEAB) comprises renowned representatives from IP and industry, OS, reproducibility, training, knowledge transfer, and entrepreneurship to support the consortium. IP4OS can meet its ambitious goals due to its consortium’s and advisory board’s IP and OS experience, their already established crossover networks and infrastructures, and outstanding expertise.",,,,,,,"Alavi M, Koch P, MacDonald L, Miller K, Nilsonne G, Priess-Buchheit J, Scherer J, Škorić L, Stoev P, Vrkic D, Wyber S, Yovcheva N, Yucebalkan C",,,,,10.3897/arphapreprints.e181365,,,,,,,,,,,,,,,,,,,"36 Creative Arts and Writing, 46 Information and Computing Sciences, 3605 Screen and Digital Media, 11 Sustainable Cities and Communities",,,,,,,,,,2025-12-05,Green OA,,,,ARPHA Preprints,,,,,,,Pensoft Publishers,,,2025-12-08,,,,,,,Unpacking the Possibilities of Intellectual Properties for Open Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,No,Not deposited,pub.1195872460,Dimensions,
1086793,Preprint,05/12/2025,,"<jats:p>
                  Advancing knowledge valorisation to enable transdisciplinary and cross-sector knowledge circulation is key to upgrading the European research landscape, resulting in economic, digital, ecological, and social benefits. That is why IP4OS advocates for a concerted Intellectual Property (IP) and Open Science (OS) approach: A complementary and supportive link between agile and fitting IP tools and the sharing of
                  <jats:bold>F</jats:bold>
                  indable,
                  <jats:bold>A</jats:bold>
                  ccessible,
                  <jats:bold>I</jats:bold>
                  nteroperable, and
                  <jats:bold>R</jats:bold>
                  e-usable (FAIR) research outputs (data, results, codes, etc.). IP4OS&amp;#39;s overall goal is to
                  <jats:bold>empower multi-professionals and their organisations with awareness, knowledge, skills, and advocacy to valorise FAIR research outputs with effectively fitting IP tools</jats:bold>
                  .
                </jats:p>
                <jats:p>
                  Firstly, IP4OS will publish a
                  <jats:bold>sound Synergy Framework</jats:bold>
                  - a Best Practice Manual mapping the relationship between IP and OS, providing recommendations for best practices. Secondly, IP4OS raises
                  <jats:bold>50% more awareness</jats:bold>
                  in the Community of Practice (CoP) by informing about advocates, facts and figures on IP tools that support OS practices. Furthermore, IP4OS will reach
                  <jats:bold>300 trained professionals</jats:bold>
                  and additionally (at least)
                  <jats:bold>27 multipliers for multi-professional teams</jats:bold>
                  from all European countries via several
                  <jats:bold>easy-to-use and sustainable educational resources</jats:bold>
                  using the Synergy Framework and the Synergy Core Curriculum. Through all of IP4OS&amp;rsquo;s activities, the project builds a new CoP for IP management to support OS and addresses 15 specific professions in training who are actors, intermediaries, educators, and learners in the R&amp;I landscape.
                </jats:p>
                <jats:p>
                  With this approach, IP4OS is fully in line with the objectives and impact expectations of the call, namely (1) to identify the complementary synergy of IP management and OS practices by building on existing resources and practices as well as through a co-creative process of a
                  <jats:bold>Multi-Professional Community of Practice</jats:bold>
                  including experts and actors of the R&amp;I landscape and (2) to anchor these findings in practice-oriented learning resources and bring them into practice through specialised courses to a broad community. With this process, IP4OS follows the call&amp;#39;s core objective: the cross-over empowerment of multi-professionals and their organisations to enrich their IP practices with useful OS principles, thus emphasising value creation and utilisation in IP management and increasing European Research Area&amp;rsquo;s (ERA) benefits.
                </jats:p>
                <jats:p>IP4OS comprises a consortium with complementary expertise from IP management, knowledge transfer and education, research, libraries, and experts from small and medium-sized enterprises (SME) covering legal aspects and dissemination activities. The International Expert Advisory Board (IEAB) comprises renowned representatives from IP and industry, OS, reproducibility, training, knowledge transfer, and entrepreneurship to support the consortium. IP4OS can meet its ambitious goals due to its consortium&amp;rsquo;s and advisory board&amp;rsquo;s IP and OS experience, their already established crossover networks and infrastructures, and outstanding expertise.</jats:p>",2025-12-05,,,,,,"Alavi M, Koch P, MacDonald L, Miller K, Nilsonne G, Priess-Buchheit J, Scherer J, Škorić L, Stoev P, Vrkic D",,,,,10.3897/arphapreprints.e181365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pensoft Publishers,,,,2025-12-05,Published,,,,https://doi.org/10.3897/arphapreprints.e181365,2025-12-05,,,,,,,Unpacking the Possibilities of Intellectual Properties for Open Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,No,Not deposited,10.3897/arphapreprints.e181365,Crossref,
1086794,Preprint,03/12/2025,,"<p>There is a growing need for large-scale, global studies in response to the replication crisis, which has raised concerns across many scientific fields and prompted efforts to understand the sources of variability in research outcomes. Here we describe the EEGManyPipelines dataset: a many-analyst study aiming to examine how differences in electrophysiology (EEG) data analysis may contribute to differences in the results. We describe data shared and analyzed by 168 analyst teams. The original shared raw data consisted of behavioral data and EEG recordings of 33 participants performing a long-term memory task, together with 8 hypotheses regarding event-related potentials and time-frequency effects. Analyst teams also provided meta-scientific data detailing analysts’ approach to hypotheses: processed EEG data, scripts, and answers to questionnaires. We propose this unique dataset for future use to study analytical flexibility, research culture, and scientific decision-making. It offers a valuable tool for meta-scientific, global and multicenter studies, EEG methodology, and reproducibility studies.</p>",,,,,,,"Cesnaite E, vitale A, Pascarella A, Vinding MC, Algermissen J, Fischer NL, Puoliväli T, Gianelli C, Marshall CR, Trübutschek D, Yang Y-F, Busch N, Nilsonne G",,,,,10.31222/osf.io/c4xwg_v1,,,,,,,,,,,,,,,,,,,"3208 Medical Physiology, 32 Biomedical and Clinical Sciences, Neurosciences, Behavioral and Social Science, Basic Behavioral and Social Science",,,,,,,,,,2025-12-03,Green OA,,,,MetaArXiv,,,,,,,Center for Open Science,,,2025-12-05,,,,,,,The EEGManyPipelines Dataset: Metascientific Data on 168 Independent Analyses of a Single EEG Dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,No,Not deposited,pub.1195762523,Dimensions,
